Cuenta de c,Etiquetas de columna,,,,
Etiquetas de fila,Confirmed,Rejected,Tentative,(en blanco),Total general
BD$COMPROMISOS,0.00%,100.00%,0.00%,0.00%,100.00%
BD$PERSONAL,0.00%,100.00%,0.00%,0.00%,100.00%
BD$PRODUCTOS,0.00%,100.00%,0.00%,0.00%,100.00%
BD$SATISFACCION,0.00%,100.00%,0.00%,0.00%,100.00%
BD$SOPORTE_ADMON,0.00%,100.00%,0.00%,0.00%,100.00%
BD$SOPORTE_DIR,10.00%,0.00%,90.00%,0.00%,100.00%
BD$SOPORTE_TEC,0.00%,100.00%,0.00%,0.00%,100.00%
BD$VOLVER.A.CONTRATAR,5.00%,95.00%,0.00%,0.00%,100.00%
(en blanco),0.00%,0.00%,0.00%,100.00%,100.00%
Total general,1.86%,86.34%,11.18%,0.62%,100.00%
